epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,553.522,1.35893,2.20199,0.00824,0.43085,0.15566,0.16363,0.09311,1.64012,2.15372,0.01924,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921
65,561.777,1.37282,2.15802,0.00838,0.42672,0.16765,0.16281,0.09291,1.6186,2.14398,0.01892,0.0008664,0.0002888,0.0008664,0.0002888,0.0008664,0.0002888,0.0008664,0.0002888
66,570.177,1.36834,2.12457,0.00805,0.36746,0.14957,0.16461,0.09301,1.61108,2.14918,0.01921,0.0008565,0.0002855,0.0008565,0.0002855,0.0008565,0.0002855,0.0008565,0.0002855
67,578.288,1.36887,2.14425,0.00816,0.51128,0.1595,0.16652,0.09433,1.63099,2.13274,0.01907,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822
68,586.5,1.36639,2.11265,0.00825,0.4862,0.17194,0.16612,0.09174,1.63438,2.17146,0.01911,0.0008367,0.0002789,0.0008367,0.0002789,0.0008367,0.0002789,0.0008367,0.0002789
69,594.898,1.36452,2.15812,0.00825,0.42439,0.14948,0.17087,0.09863,1.66302,2.15115,0.01927,0.0008268,0.0002756,0.0008268,0.0002756,0.0008268,0.0002756,0.0008268,0.0002756
70,603.324,1.35977,2.13948,0.00838,0.45587,0.13517,0.16503,0.0926,1.6476,2.16418,0.01984,0.0008169,0.0002723,0.0008169,0.0002723,0.0008169,0.0002723,0.0008169,0.0002723
71,611.816,1.37088,2.06999,0.00839,0.42868,0.17621,0.16794,0.09455,1.64272,2.0974,0.0194,0.000807,0.000269,0.000807,0.000269,0.000807,0.000269,0.000807,0.000269
72,620.338,1.36025,2.06076,0.00825,0.48776,0.17351,0.17192,0.09794,1.64262,2.12702,0.01921,0.0007971,0.0002657,0.0007971,0.0002657,0.0007971,0.0002657,0.0007971,0.0002657
73,628.961,1.37312,2.12879,0.0079,0.50261,0.17186,0.17543,0.09927,1.65338,2.13158,0.019,0.0007872,0.0002624,0.0007872,0.0002624,0.0007872,0.0002624,0.0007872,0.0002624
