epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,918.193,1.53709,3.4039,0.00877,0.48506,0.25122,0.2906,0.16726,1.59511,2.30887,0.01704,0.00118073,0.000393575,0.00118073,0.000393575,0.00118073,0.000393575,0.00118073,0.000393575
45,938.174,1.53704,3.42946,0.00923,0.49206,0.24985,0.29975,0.17444,1.61377,2.24153,0.01714,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911
46,958.094,1.52341,3.22691,0.00882,0.51826,0.23806,0.29268,0.16824,1.66783,2.23003,0.0181,0.00116588,0.000388625,0.00116588,0.000388625,0.00116588,0.000388625,0.00116588,0.000388625
47,978.061,1.52726,3.21006,0.00901,0.51357,0.24839,0.30076,0.17605,1.61538,2.26659,0.01675,0.00115845,0.00038615,0.00115845,0.00038615,0.00115845,0.00038615,0.00115845,0.00038615
48,997.979,1.5266,3.2036,0.00877,0.4288,0.29757,0.30717,0.18081,1.64546,2.21424,0.01734,0.00115102,0.000383675,0.00115102,0.000383675,0.00115102,0.000383675,0.00115102,0.000383675
49,1017.71,1.53703,3.17203,0.00889,0.48158,0.27693,0.3062,0.17867,1.62926,2.24349,0.01667,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812
50,1037.49,1.50868,3.08069,0.00851,0.36335,0.31119,0.30941,0.17844,1.62481,2.20461,0.0171,0.00113617,0.000378725,0.00113617,0.000378725,0.00113617,0.000378725,0.00113617,0.000378725
51,1057.57,1.51376,2.97109,0.00866,0.47343,0.27663,0.32139,0.18557,1.59426,2.21015,0.01672,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625
52,1077.62,1.52645,2.93332,0.00858,0.41754,0.33941,0.32804,0.18779,1.6552,2.18362,0.01749,0.00112133,0.000373775,0.00112133,0.000373775,0.00112133,0.000373775,0.00112133,0.000373775
53,1098.19,1.50626,2.95246,0.00854,0.39319,0.33202,0.31823,0.183,1.64939,2.17983,0.01738,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713
54,1118.28,1.52232,2.87497,0.00886,0.41509,0.30111,0.31262,0.18036,1.66164,2.15909,0.01755,0.00110647,0.000368825,0.00110647,0.000368825,0.00110647,0.000368825,0.00110647,0.000368825
55,1138.52,1.51996,2.85183,0.00871,0.40045,0.33097,0.33216,0.19203,1.65187,2.17918,0.01754,0.00109905,0.00036635,0.00109905,0.00036635,0.00109905,0.00036635,0.00109905,0.00036635
56,1159.26,1.51317,2.77898,0.0087,0.38383,0.306,0.32045,0.18614,1.64527,2.18424,0.01739,0.00109162,0.000363875,0.00109162,0.000363875,0.00109162,0.000363875,0.00109162,0.000363875
57,1179.56,1.49734,2.77209,0.0087,0.40367,0.31548,0.3187,0.18529,1.62824,2.1952,0.01716,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614
58,1199.71,1.52275,2.75036,0.00884,0.44067,0.28329,0.3255,0.18805,1.64904,2.15279,0.01698,0.00107678,0.000358925,0.00107678,0.000358925,0.00107678,0.000358925,0.00107678,0.000358925
59,1219.64,1.50323,2.661,0.00864,0.4288,0.28397,0.31931,0.18569,1.66621,2.1751,0.01746,0.00106935,0.00035645,0.00106935,0.00035645,0.00106935,0.00035645,0.00106935,0.00035645
60,1239.61,1.51161,2.65055,0.00867,0.45243,0.29044,0.33407,0.19346,1.68851,2.13993,0.01775,0.00106193,0.000353975,0.00106193,0.000353975,0.00106193,0.000353975,0.00106193,0.000353975
