epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,37.5836,1.40983,2.56695,0.02669,0.89419,0.65625,0.88139,0.68648,1.57918,1.11612,0.01092,8.27155e-05,2.75718e-05,8.27155e-05,2.75718e-05,8.27155e-05,2.75718e-05,8.27155e-05,2.75718e-05
38,38.0122,1.21986,2.68467,0.01232,0.89419,0.65625,0.88139,0.68648,1.57918,1.11612,0.01092,8.37054e-05,2.79018e-05,8.37054e-05,2.79018e-05,8.37054e-05,2.79018e-05,8.37054e-05,2.79018e-05
39,38.6483,0.87221,1.66159,0.0084,0.93905,0.6283,0.88145,0.68646,1.58537,1.13355,0.01101,8.46247e-05,2.82082e-05,8.46247e-05,2.82082e-05,8.46247e-05,2.82082e-05,8.46247e-05,2.82082e-05
40,39.0769,1.6974,2.45886,0.02181,0.93905,0.6283,0.88145,0.68646,1.58537,1.13355,0.01101,8.54733e-05,2.84911e-05,8.54733e-05,2.84911e-05,8.54733e-05,2.84911e-05,8.54733e-05,2.84911e-05
41,39.7226,1.02584,1.81614,0.01181,0.93331,0.62897,0.88156,0.68647,1.58421,1.12939,0.01095,8.62512e-05,2.87504e-05,8.62512e-05,2.87504e-05,8.62512e-05,2.87504e-05,8.62512e-05,2.87504e-05
42,40.1508,1.24309,2.33473,0.01183,0.93331,0.62897,0.88156,0.68647,1.58421,1.12939,0.01095,8.69584e-05,2.89861e-05,8.69584e-05,2.89861e-05,8.69584e-05,2.89861e-05,8.69584e-05,2.89861e-05
43,40.7874,0.93163,2.98446,0.01561,0.93876,0.62894,0.88151,0.66979,1.5957,1.13214,0.01113,8.75949e-05,2.91983e-05,8.75949e-05,2.91983e-05,8.75949e-05,2.91983e-05,8.75949e-05,2.91983e-05
44,41.2137,1.39272,3.76346,0.01888,0.93876,0.62894,0.88151,0.66979,1.5957,1.13214,0.01113,8.81608e-05,2.93869e-05,8.81608e-05,2.93869e-05,8.81608e-05,2.93869e-05,8.81608e-05,2.93869e-05
45,41.9991,0.97611,2.44187,0.01491,0.93997,0.6289,0.88145,0.66975,1.60651,1.14566,0.01129,8.8656e-05,2.9552e-05,8.8656e-05,2.9552e-05,8.8656e-05,2.9552e-05,8.8656e-05,2.9552e-05
46,42.4237,1.41712,3.44419,0.01808,0.93997,0.6289,0.88145,0.66975,1.60651,1.14566,0.01129,8.90804e-05,2.96935e-05,8.90804e-05,2.96935e-05,8.90804e-05,2.96935e-05,8.90804e-05,2.96935e-05
47,43.0537,1.78042,3.50911,0.02367,0.95654,0.63254,0.88163,0.64524,1.62488,1.15024,0.01157,8.94342e-05,2.98114e-05,8.94342e-05,2.98114e-05,8.94342e-05,2.98114e-05,8.94342e-05,2.98114e-05
48,43.4806,1.14379,1.96777,0.01779,0.95654,0.63254,0.88163,0.64524,1.62488,1.15024,0.01157,8.97173e-05,2.99058e-05,8.97173e-05,2.99058e-05,8.97173e-05,2.99058e-05,8.97173e-05,2.99058e-05
49,44.1155,1.04589,2.26251,0.0169,0.92447,0.63191,0.88159,0.67816,1.61914,1.15498,0.01154,8.99297e-05,2.99766e-05,8.99297e-05,2.99766e-05,8.99297e-05,2.99766e-05,8.99297e-05,2.99766e-05
50,44.5552,1.18557,2.29596,0.01819,0.92447,0.63191,0.88159,0.67816,1.61914,1.15498,0.01154,9.00715e-05,3.00238e-05,9.00715e-05,3.00238e-05,9.00715e-05,3.00238e-05,9.00715e-05,3.00238e-05
51,45.196,1.01924,2.5806,0.00887,0.92743,0.63144,0.88159,0.64477,1.62833,1.15846,0.01165,9.01425e-05,3.00475e-05,9.01425e-05,3.00475e-05,9.01425e-05,3.00475e-05,9.01425e-05,3.00475e-05
52,45.6256,1.3178,3.24238,0.01969,0.92743,0.63144,0.88159,0.64477,1.62833,1.15846,0.01165,9.01429e-05,3.00476e-05,9.01429e-05,3.00476e-05,9.01429e-05,3.00476e-05,9.01429e-05,3.00476e-05
53,46.2168,1.35904,2.14358,0.01934,0.92743,0.63144,0.88159,0.64477,1.62833,1.15846,0.01165,9.00725e-05,3.00242e-05,9.00725e-05,3.00242e-05,9.00725e-05,3.00242e-05,9.00725e-05,3.00242e-05
54,46.8594,1.15144,3.13543,0.01963,0.91835,0.63572,0.8817,0.62884,1.63122,1.18531,0.01194,8.99315e-05,2.99772e-05,8.99315e-05,2.99772e-05,8.99315e-05,2.99772e-05,8.99315e-05,2.99772e-05
55,47.2838,1.06744,3.07567,0.01393,0.91835,0.63572,0.8817,0.62884,1.63122,1.18531,0.01194,8.97198e-05,2.99066e-05,8.97198e-05,2.99066e-05,8.97198e-05,2.99066e-05,8.97198e-05,2.99066e-05
56,47.7104,1.13976,3.13138,0.0205,0.91835,0.63572,0.8817,0.62884,1.63122,1.18531,0.01194,8.94374e-05,2.98125e-05,8.94374e-05,2.98125e-05,8.94374e-05,2.98125e-05,8.94374e-05,2.98125e-05
57,48.3433,0.99411,2.09006,0.01354,0.90382,0.64132,0.88165,0.64329,1.65416,1.19289,0.01223,8.90844e-05,2.96948e-05,8.90844e-05,2.96948e-05,8.90844e-05,2.96948e-05,8.90844e-05,2.96948e-05
58,48.7691,0.96353,1.80475,0.01261,0.90382,0.64132,0.88165,0.64329,1.65416,1.19289,0.01223,8.86606e-05,2.95535e-05,8.86606e-05,2.95535e-05,8.86606e-05,2.95535e-05,8.86606e-05,2.95535e-05
59,49.2014,1.29661,2.62717,0.01191,0.90382,0.64132,0.88165,0.64329,1.65416,1.19289,0.01223,8.81661e-05,2.93887e-05,8.81661e-05,2.93887e-05,8.81661e-05,2.93887e-05,8.81661e-05,2.93887e-05
60,49.8321,1.25593,3.31223,0.02368,0.903,0.63976,0.87995,0.64332,1.65084,1.19811,0.01232,8.7601e-05,2.92003e-05,8.7601e-05,2.92003e-05,8.7601e-05,2.92003e-05,8.7601e-05,2.92003e-05
61,50.2688,1.15143,2.81519,0.01186,0.903,0.63976,0.87995,0.64332,1.65084,1.19811,0.01232,8.69652e-05,2.89884e-05,8.69652e-05,2.89884e-05,8.69652e-05,2.89884e-05,8.69652e-05,2.89884e-05
62,50.8547,0.86277,2.38013,0.0108,0.903,0.63976,0.87995,0.64332,1.65084,1.19811,0.01232,8.62587e-05,2.87529e-05,8.62587e-05,2.87529e-05,8.62587e-05,2.87529e-05,8.62587e-05,2.87529e-05
63,51.4917,1.18528,2.94036,0.02435,0.90603,0.64087,0.88173,0.64545,1.66527,1.21757,0.01269,8.54815e-05,2.84938e-05,8.54815e-05,2.84938e-05,8.54815e-05,2.84938e-05,8.54815e-05,2.84938e-05
64,51.9189,1.09884,2.19769,0.01772,0.90603,0.64087,0.88173,0.64545,1.66527,1.21757,0.01269,8.46336e-05,2.82112e-05,8.46336e-05,2.82112e-05,8.46336e-05,2.82112e-05,8.46336e-05,2.82112e-05
65,52.3594,1.09481,2.39187,0.01664,0.90603,0.64087,0.88173,0.64545,1.66527,1.21757,0.01269,8.37151e-05,2.7905e-05,8.37151e-05,2.7905e-05,8.37151e-05,2.7905e-05,8.37151e-05,2.7905e-05
66,53.0006,1.19329,3.48769,0.01773,0.89979,0.64142,0.87997,0.62755,1.64768,1.2864,0.01289,8.27258e-05,2.75753e-05,8.27258e-05,2.75753e-05,8.27258e-05,2.75753e-05,8.27258e-05,2.75753e-05
67,53.4329,1.30912,2.91444,0.0234,0.89979,0.64142,0.87997,0.62755,1.64768,1.2864,0.01289,8.16659e-05,2.7222e-05,8.16659e-05,2.7222e-05,8.16659e-05,2.7222e-05,8.16659e-05,2.7222e-05
68,53.8616,1.44662,2.11447,0.01903,0.89979,0.64142,0.87997,0.62755,1.64768,1.2864,0.01289,8.05353e-05,2.68451e-05,8.05353e-05,2.68451e-05,8.05353e-05,2.68451e-05,8.05353e-05,2.68451e-05
69,54.5092,1.25213,2.60834,0.01456,0.79962,0.70265,0.88168,0.60539,1.69003,1.31088,0.01415,7.9334e-05,2.64447e-05,7.9334e-05,2.64447e-05,7.9334e-05,2.64447e-05,7.9334e-05,2.64447e-05
70,54.9386,0.90877,1.95445,0.01154,0.79962,0.70265,0.88168,0.60539,1.69003,1.31088,0.01415,7.8062e-05,2.60207e-05,7.8062e-05,2.60207e-05,7.8062e-05,2.60207e-05,7.8062e-05,2.60207e-05
71,55.5398,1.12159,2.43826,0.01115,0.79962,0.70265,0.88168,0.60539,1.69003,1.31088,0.01415,7.67193e-05,2.55731e-05,7.67193e-05,2.55731e-05,7.67193e-05,2.55731e-05,7.67193e-05,2.55731e-05
